doc_id,text,label,score,start,end
16,J,I-PER,0.9752279,25,26
16,Sherman,I-PER,0.9996669,66,73
16,Wendy,I-PER,0.99953735,75,80
16,R,I-PER,0.99574417,81,82
16,H,I-PER,0.999376,84,85
16,Mills,I-PER,0.99968946,87,92
16,Cheryl,I-PER,0.9995517,94,100
16,D,I-PER,0.9958443,101,102
16,N,I-PER,0.9987307,104,105
16,##ula,I-PER,0.795728,105,108
16,##nd,I-PER,0.9910944,108,110
16,Victoria,I-PER,0.9995982,112,120
16,J,I-PER,0.9948421,121,122
16,Re,I-PER,0.9996118,124,126
16,##ines,I-PER,0.999218,126,130
16,Philippe,I-PER,0.99961615,132,140
16,Re,I-PER,0.99925345,141,143
16,Youth,I-MISC,0.52586544,149,154
16,of,I-MISC,0.72050714,155,157
16,Libya,I-LOC,0.67549473,158,163
17,Libya,I-LOC,0.9976434,64,69
18,Libya,I-LOC,0.98882306,77,82
22,Sidney,I-PER,0.9975896,0,6
22,Blu,I-PER,0.99634165,7,10
22,##ment,I-PER,0.7941078,10,14
22,##hal,I-PER,0.9803137,14,17
22,Ma,I-ORG,0.8905794,64,66
22,##gar,I-ORG,0.6609261,66,69
22,##ia,I-ORG,0.516322,69,71
22,##f,I-ORG,0.53128314,71,72
22,Hillary,I-PER,0.9977575,184,191
25,is,I-MISC,0.9333446,40,42
25,##lam,I-MISC,0.9846976,42,45
25,anti,I-MISC,0.88343316,52,56
25,is,I-MISC,0.92579705,57,59
25,##lam,I-MISC,0.9835765,59,62
25,Stephen,I-PER,0.9996123,92,99
25,Pro,I-PER,0.99971575,100,103
25,##ther,I-PER,0.99762446,103,107
25,##o,I-PER,0.9977869,107,108
25,Boston,I-ORG,0.99843186,112,118
25,University,I-ORG,0.98782754,119,129
25,The,I-MISC,0.9867776,162,165
25,American,I-MISC,0.999343,166,174
25,Bible,I-MISC,0.9966744,175,180
25,:,I-MISC,0.62264675,180,181
25,How,I-MISC,0.5701165,182,185
25,Our,I-MISC,0.9531191,186,189
25,Words,I-MISC,0.5043978,190,195
25,Unit,I-MISC,0.8747016,196,200
25,Di,I-MISC,0.55719054,203,205
25,De,I-MISC,0.5552234,215,217
25,##fine,I-MISC,0.5825137,217,221
25,Nation,I-MISC,0.90027946,224,230
25,CNN,I-ORG,0.9307496,246,249
25,Bel,I-ORG,0.44839108,250,253
25,B,I-ORG,0.55975735,257,258
25,Stephen,I-PER,0.9994419,278,285
25,Pro,I-PER,0.99960345,286,289
25,##ther,I-PER,0.9942327,289,293
25,##o,I-PER,0.9835812,293,294
25,CNN,I-ORG,0.9922766,307,310
25,U,I-LOC,0.9988457,353,354
25,S,I-LOC,0.9316354,355,356
25,Egypt,I-LOC,0.99980265,372,377
25,Libya,I-LOC,0.9998367,379,384
25,Yemen,I-LOC,0.9998117,389,394
25,Americans,I-MISC,0.9985257,419,428
25,U,I-LOC,0.9988248,440,441
25,S,I-LOC,0.9456561,442,443
25,Libya,I-LOC,0.9998512,459,464
25,Chris,I-PER,0.9996804,465,470
25,Stevens,I-PER,0.99980825,471,478
28,Yemen,I-LOC,0.9998134,11,16
29,Libyan,I-MISC,0.99920434,65,71
29,Intel,I-ORG,0.77144176,107,112
29,Hillary,I-PER,0.9951742,241,248
29,From,I-PER,0.77575684,249,253
29,Intel,I-ORG,0.61802447,274,279
29,Libyan,I-MISC,0.9989568,281,287
29,National,I-ORG,0.9994887,433,441
29,Libyan,I-ORG,0.9982639,442,448
29,Council,I-ORG,0.99876416,449,456
29,NL,I-ORG,0.9991762,458,460
29,##C,I-ORG,0.998522,460,461
30,Sullivan,I-PER,0.9989974,16,24
30,Jacob,I-PER,0.9988985,26,31
30,P,I-MISC,0.47649246,116,117
30,Libya,I-LOC,0.99979,145,150
30,Egypt,I-LOC,0.9997844,155,160
32,State,I-ORG,0.99635714,42,47
32,Department,I-ORG,0.99599236,48,58
32,State,I-ORG,0.997147,74,79
32,Department,I-ORG,0.9955035,80,90
32,Office,I-ORG,0.47740299,146,152
32,##RO,I-MISC,0.6511393,233,235
32,A,I-LOC,0.6620068,277,278
32,##F,I-ORG,0.80448633,278,279
32,##RI,I-ORG,0.7046098,279,281
32,##CA,I-ORG,0.76935166,281,283
32,K,I-MISC,0.42936596,299,300
32,Monica,I-PER,0.997879,363,369
32,W,I-PER,0.7070891,372,373
32,Carson,I-PER,0.9986218,375,381
32,Room,I-LOC,0.74082464,418,422
32,French,I-MISC,0.9987747,468,474
32,Portuguese,I-MISC,0.99868554,479,489
34,U,I-ORG,0.9300447,0,1
34,S,I-ORG,0.92151076,2,3
34,.,I-ORG,0.71264863,3,4
34,Department,I-ORG,0.99765563,5,15
34,of,I-ORG,0.99643385,16,18
34,State,I-ORG,0.99383646,19,24
34,B,I-PER,0.4661757,121,122
34,##EN,I-LOC,0.6941372,122,124
34,##G,I-LOC,0.41949975,124,125
34,##HA,I-LOC,0.45807418,125,127
34,##Z,I-LOC,0.33532366,127,128
34,##I,I-ORG,0.5355569,128,129
34,##NS,I-MISC,0.50424653,162,164
34,F,I-MISC,0.6417546,199,200
34,##O,I-MISC,0.6483264,200,201
35,F,I-LOC,0.8967141,0,1
38,Gates,I-PER,0.9977563,5,10
39,F,I-PER,0.788509,0,1
39,##yi,I-PER,0.5523796,1,3
40,Libyan,I-MISC,0.9989936,28,34
41,GO,I-MISC,0.8821595,33,35
41,##P,I-ORG,0.5026372,35,36
41,Jimmy,I-MISC,0.76511794,81,86
41,Carter,I-MISC,0.7491717,87,93
41,Strategy,I-MISC,0.99356383,94,102
41,Libya,I-LOC,0.9998055,113,118
41,Obama,I-PER,0.99926704,135,140
41,AI,I-ORG,0.50752884,187,189
41,Be,I-ORG,0.9601815,190,192
41,##hr,I-ORG,0.51054823,192,194
41,##man,I-ORG,0.82090014,194,197
41,/,I-ORG,0.60233194,197,198
41,Sal,I-ORG,0.87998754,198,201
41,##ort,I-ORG,0.8990521,201,204
41,Mi,I-PER,0.99788034,248,250
41,##tt,I-PER,0.9962023,250,252
41,Romney,I-PER,0.99950933,253,259
41,Barack,I-PER,0.99895525,274,280
41,Obama,I-PER,0.9996499,281,286
41,Republican,I-MISC,0.9985322,350,360
41,Obama,I-PER,0.99949336,439,444
42,Pi,I-PER,0.80491227,0,2
42,Phil,I-PER,0.95649385,21,25
45,Sullivan,I-PER,0.99957794,9,17
45,Jacob,I-PER,0.9991947,19,24
45,J,I-PER,0.77624214,25,26
45,Romney,I-PER,0.99893683,66,72
45,Sid,I-PER,0.99795073,111,114
46,Libyan,I-MISC,0.9991209,76,82
46,A,I-ORG,0.3825548,165,166
46,U,I-ORG,0.91459006,171,172
46,S,I-ORG,0.7487427,173,174
46,.,I-ORG,0.72556186,174,175
46,Department,I-ORG,0.9978908,176,186
46,of,I-ORG,0.99690104,187,189
46,State,I-ORG,0.9914614,190,195
46,B,I-LOC,0.409741,292,293
46,##EN,I-LOC,0.70326173,293,295
46,##G,I-LOC,0.436587,295,296
46,##HA,I-LOC,0.49779156,296,298
46,##Z,I-MISC,0.5929434,298,299
46,##I,I-ORG,0.27035344,299,300
46,##NS,I-MISC,0.56552786,333,335
46,F,I-MISC,0.92879117,370,371
46,##O,I-MISC,0.76754165,371,372
47,Romney,I-PER,0.999509,0,6
47,Wall,I-ORG,0.9992804,31,35
47,Street,I-ORG,0.99886763,36,42
47,Journal,I-ORG,0.9988794,43,50
47,Stevens,I-PER,0.9995547,63,70
47,Obama,I-PER,0.99863064,86,91
47,Pol,I-ORG,0.99700075,138,141
47,##itic,I-ORG,0.9933269,141,145
47,##o,I-ORG,0.9914425,145,146
47,Romney,I-PER,0.9983972,200,206
47,Libya,I-LOC,0.9997414,221,226
47,neo,I-MISC,0.6405898,243,246
47,R,I-MISC,0.68745184,259,260
47,##ove,I-PER,0.63638276,260,263
47,Ed,I-PER,0.99924684,282,284
47,Gillespie,I-PER,0.9997341,285,294
47,R,I-PER,0.9762331,296,297
47,##ove,I-PER,0.99203354,297,300
47,Romney,I-PER,0.99847347,322,328
47,Stuart,I-PER,0.999255,352,358
47,Stevens,I-PER,0.9997018,359,366
47,Romney,I-PER,0.9995183,368,374
47,Romney,I-PER,0.9994178,471,477
47,Muslim,I-MISC,0.9931778,503,509
48,Sidney,I-PER,0.99905306,0,6
48,Blu,I-PER,0.997175,7,10
48,##ment,I-PER,0.9635112,10,14
48,##hat,I-PER,0.87333155,14,17
48,Mo,I-PER,0.9993543,56,58
48,##rs,I-PER,0.95433277,58,60
48,##i,I-PER,0.9625199,60,61
48,Sid,I-PER,0.9500178,93,96
48,Hillary,I-PER,0.9978237,171,178
49,Andrews,I-LOC,0.93458265,31,38
49,##J,I-LOC,0.9454776,160,161
49,##ord,I-LOC,0.96905524,161,164
49,##an,I-LOC,0.99342185,164,166
49,Iraq,I-LOC,0.9998142,171,175
49,U,I-ORG,0.72481656,250,251
49,S,I-ORG,0.72881985,252,253
49,Department,I-ORG,0.9981818,255,265
49,of,I-ORG,0.99612135,266,268
49,State,I-ORG,0.98979574,269,274
49,B,I-LOC,0.49016035,371,372
49,##EN,I-LOC,0.7427666,372,374
49,##G,I-LOC,0.45105365,374,375
49,##HA,I-LOC,0.5290622,375,377
49,##Z,I-MISC,0.50282454,377,378
49,##I,I-ORG,0.40317696,378,379
49,SE,I-MISC,0.6896927,410,412
49,##NS,I-MISC,0.6342128,412,414
49,F,I-MISC,0.7916253,449,450
49,##O,I-MISC,0.73359406,450,451
50,Sidney,I-PER,0.9980782,16,22
50,Blu,I-PER,0.99694425,23,26
50,##ment,I-PER,0.81500477,26,30
50,##hal,I-PER,0.9520019,30,33
50,Romney,I-PER,0.9981331,101,107
50,Sid,I-PER,0.9986731,148,151
50,Romney,I-PER,0.9997038,152,158
50,Wall,I-ORG,0.9994954,183,187
50,Street,I-ORG,0.9991793,188,194
50,Journal,I-ORG,0.99932563,195,202
50,Stevens,I-PER,0.9994886,215,222
50,Obama,I-PER,0.99884194,238,243
50,Pol,I-ORG,0.99160165,290,293
50,##itic,I-ORG,0.98294026,293,297
50,##o,I-ORG,0.98032206,297,298
50,Romney,I-PER,0.9991141,352,358
50,Libya,I-LOC,0.9996897,373,378
50,R,I-PER,0.6480023,411,412
50,##ove,I-PER,0.82000023,412,415
50,Ed,I-PER,0.99950194,434,436
50,Gillespie,I-PER,0.999772,437,446
50,R,I-PER,0.98176825,448,449
50,##ove,I-PER,0.993236,449,452
50,Romney,I-PER,0.99750227,474,480
50,Stuart,I-PER,0.9992205,504,510
50,S,I-PER,0.99757916,511,512
51,Mi,I-PER,0.9984459,79,81
51,##tt,I-PER,0.99400336,81,83
51,Romney,I-PER,0.99746895,84,90
51,Middle,I-LOC,0.99598974,113,119
51,East,I-LOC,0.9869844,120,124
51,American,I-MISC,0.99933714,153,161
51,Middle,I-LOC,0.999637,306,312
51,East,I-LOC,0.99867463,313,317
51,Syria,I-LOC,0.99979264,322,327
51,Egypt,I-LOC,0.99981123,392,397
51,Muslim,I-ORG,0.99913067,403,409
51,Brotherhood,I-ORG,0.99907047,410,421
51,Israel,I-LOC,0.9997416,477,483
51,##b,I-MISC,0.48814386,511,512
52,Rhodes,I-PER,0.9992219,41,47
52,Benjamin,I-PER,0.99876827,49,57
52,Sullivan,I-PER,0.99968493,103,111
52,Jacob,I-PER,0.999509,113,118
52,Re,I-PER,0.999537,121,123
52,##ines,I-PER,0.999423,123,127
52,Philippe,I-PER,0.99944514,129,137
53,B,I-PER,0.54621106,39,40
53,##EN,I-LOC,0.7327237,40,42
53,##G,I-LOC,0.42104122,42,43
53,##HA,I-LOC,0.48804158,43,45
53,##Z,I-MISC,0.39486432,45,46
53,##I,I-ORG,0.35973102,46,47
53,SE,I-MISC,0.69384587,78,80
53,##NS,I-MISC,0.6530106,80,82
53,F,I-MISC,0.48784897,117,118
53,##O,I-MISC,0.6893505,118,119
53,Anne,I-PER,0.75609297,149,153
53,Marie,I-PER,0.94715863,154,159
53,S,I-PER,0.9000883,160,161
53,NW,I-ORG,0.72621304,244,246
53,##T,I-LOC,0.6294155,246,247
54,Ben,I-LOC,0.9986389,57,60
54,##gh,I-LOC,0.99448097,60,62
54,##azi,I-LOC,0.99854845,62,65
55,PA,I-LOC,0.85014,5,7
55,PA,I-LOC,0.30066818,59,61
55,D,I-ORG,0.7884116,79,80
55,##I,I-ORG,0.7821629,80,81
55,NE,I-ORG,0.55868906,83,85
55,Press,I-ORG,0.5081359,87,92
55,DL,I-ORG,0.7414929,93,95
55,DS,I-ORG,0.94770455,97,99
55,PA,I-ORG,0.8698516,100,102
55,Media,I-ORG,0.7898717,103,108
55,Shore,I-PER,0.99966097,110,115
55,R,I-PER,0.9995956,117,118
55,##hon,I-PER,0.99907255,118,121
55,##da,I-PER,0.99834967,121,123
55,H,I-PER,0.9917337,124,125
55,At,I-PER,0.99954385,127,129
55,##chi,I-PER,0.9649345,129,132
55,##son,I-PER,0.99087113,132,135
55,Mark,I-PER,0.99959165,137,141
55,C,I-PER,0.9829814,142,143
55,Moe,I-PER,0.9995073,145,148
55,Grace,I-PER,0.99958676,150,155
55,T,I-PER,0.9845903,156,157
55,Mills,I-PER,0.99967754,173,178
55,Cheryl,I-PER,0.99957687,180,186
55,D,I-PER,0.9872044,187,188
55,To,I-PER,0.9988815,190,192
55,##w,I-PER,0.94164294,192,193
55,Nora,I-PER,0.9995166,195,199
55,F,I-PER,0.9929644,200,201
55,Daily,I-ORG,0.9928437,218,223
55,Beast,I-ORG,0.9958131,224,229
55,United,I-LOC,0.9979236,274,280
55,States,I-LOC,0.9972644,281,287
55,UN,I-ORG,0.9939074,288,290
55,Susan,I-PER,0.99964,302,307
55,Rice,I-PER,0.9997962,308,312
55,Leslie,I-PER,0.999683,337,343
55,H,I-PER,0.99804,344,345
55,.,I-PER,0.7682823,345,346
55,G,I-PER,0.9997371,347,348
55,##el,I-PER,0.9775073,348,350
55,##b,I-PER,0.9819484,350,351
56,Chris,I-PER,0.99942905,8,13
56,Stevens,I-PER,0.999696,14,21
58,Pi,I-ORG,0.37344342,0,2
58,##s,I-ORG,0.34305498,2,3
58,print,I-ORG,0.41968486,4,9
58,CNN,I-ORG,0.97822213,52,55
58,Bel,I-MISC,0.49745396,56,59
58,Pro,I-PER,0.94931877,69,72
58,##ther,I-PER,0.6121824,72,76
58,##o,I-ORG,0.43583235,76,77
59,F,I-PER,0.788509,0,1
59,##yi,I-PER,0.5523796,1,3
60,Hillary,I-PER,0.9961914,21,28
62,War,I-MISC,0.9551314,174,177
62,Powers,I-MISC,0.9846897,178,184
62,Tunisia,I-LOC,0.9997614,200,207
62,UK,I-LOC,0.98784024,331,333
62,Hague,I-PER,0.510544,337,342
62,Egyptian,I-MISC,0.996232,349,357
62,Am,I-PER,0.8391567,361,363
62,##r,I-ORG,0.658618,363,364
62,Israeli,I-MISC,0.9986443,371,378
62,Net,I-PER,0.9992113,382,385
62,##any,I-PER,0.9054553,385,388
62,##ahu,I-PER,0.9980348,388,391
62,French,I-MISC,0.9959009,397,403
62,F,I-ORG,0.8392252,407,408
62,##abi,I-ORG,0.62266237,408,411
62,##us,I-ORG,0.8573653,411,413
62,Saudi,I-MISC,0.99580944,419,424
62,Sa,I-PER,0.9961898,428,430
62,##ud,I-PER,0.99745065,430,432
62,al,I-PER,0.9960169,433,435
62,F,I-PER,0.9834208,436,437
62,##ais,I-PER,0.92663133,437,440
62,##al,I-PER,0.97367406,440,442
62,Somali,I-MISC,0.9986395,448,454
62,She,I-PER,0.9992725,485,488
62,##ri,I-PER,0.90597713,488,490
62,##f,I-PER,0.99488574,490,491
62,Libyan,I-MISC,0.99889815,497,503
63,Nora,I-PER,0.98008704,6,10
63,To,I-PER,0.8879683,11,13
63,Mills,I-PER,0.9869407,62,67
63,Bill,I-PER,0.99747247,98,102
63,Clinton,I-PER,0.9993998,103,110
63,Uh,I-LOC,0.4692477,144,146
63,##ya,I-MISC,0.4075986,146,148
63,Bill,I-PER,0.997761,169,173
63,Clinton,I-PER,0.9995478,174,181
63,Libya,I-LOC,0.9995183,215,220
63,S,I-MISC,0.9951232,284,285
63,##U,I-MISC,0.9425363,285,286
63,##Z,I-MISC,0.92996365,286,287
63,##AN,I-MISC,0.890449,287,289
63,U,I-LOC,0.9993216,321,322
63,S,I-LOC,0.99383307,323,324
63,Bill,I-PER,0.99855345,336,340
63,Clinton,I-PER,0.99969566,341,348
63,United,I-LOC,0.99954224,368,374
63,States,I-LOC,0.99949634,375,381
63,Libya,I-LOC,0.99970716,419,424
66,Jeff,I-PER,0.9991339,5,9
66,NATO,I-ORG,0.99774545,51,55
66,Fe,I-PER,0.99905413,86,88
66,##ib,I-PER,0.9664951,88,90
66,##ran,I-PER,0.8689189,90,93
66,Jeffrey,I-PER,0.999297,95,102
66,D,I-PER,0.6028241,103,104
66,Da,I-PER,0.9977857,146,148
66,##aid,I-PER,0.9787538,148,151
66,##er,I-PER,0.9834645,151,153
66,I,I-PER,0.9977907,155,156
66,##vo,I-PER,0.99874014,156,158
66,H,I-PER,0.9590743,159,160
66,Gene,I-PER,0.9995498,168,172
66,A,I-PER,0.9794463,173,174
66,Pol,I-PER,0.99851936,176,179
66,##as,I-PER,0.97410166,179,181
66,##ch,I-PER,0.9819177,181,183
66,##lk,I-PER,0.755347,183,185
66,Joan,I-PER,0.9995623,187,191
66,A,I-PER,0.9880972,192,193
66,Gordon,I-PER,0.99962115,195,201
66,Philip,I-PER,0.99957186,203,209
66,H,I-PER,0.9850937,210,211
66,Roe,I-PER,0.99893934,213,216
66,##bu,I-PER,0.9816954,216,218
66,##ck,I-PER,0.98157895,218,220
66,William,I-PER,0.9993425,222,229
66,V,I-PER,0.9929777,230,231
66,Ke,I-PER,0.9991529,233,235
66,##ene,I-PER,0.9875595,235,238
66,Matt,I-PER,0.9995784,240,244
66,E,I-PER,0.9898476,245,246
66,Di,I-PER,0.9993266,248,250
66,##bble,I-PER,0.98884916,250,254
66,Elizabeth,I-PER,0.9994091,256,265
66,Sullivan,I-PER,0.553901,272,280
66,Jacob,I-PER,0.99911314,282,287
66,Sc,I-PER,0.9993882,290,292
66,##hi,I-PER,0.9815646,292,294
66,##kh,I-PER,0.60339147,294,296
66,##er,I-PER,0.92889804,296,298
66,Ronald,I-PER,0.9996655,300,306
66,L,I-PER,0.9926806,307,308
66,Sanders,I-PER,0.9996805,310,317
66,##on,I-PER,0.9855854,317,319
66,Janet,I-PER,0.9996532,321,326
66,A,I-PER,0.9952809,327,328
66,D,I-PER,0.99723417,330,331
66,##jer,I-PER,0.98759985,331,334
66,##ass,I-PER,0.83612025,334,337
66,##i,I-PER,0.9511972,337,338
66,Alexander,I-PER,0.99964523,340,349
66,M,I-PER,0.9931832,350,351
66,He,I-PER,0.9995297,353,355
66,##ffer,I-PER,0.98173493,355,359
66,##n,I-PER,0.9650886,359,360
66,John,I-PER,0.9996158,362,366
66,A,I-PER,0.989465,367,368
66,De,I-PER,0.9974815,370,372
66,##gna,I-PER,0.98379713,372,375
66,##n,I-PER,0.9848914,375,376
66,Kelly,I-PER,0.99964094,378,383
66,It,I-PER,0.9574911,399,401
66,##eng,I-PER,0.88947314,401,404
66,##ha,I-PER,0.54459053,404,406
66,##zi,I-PER,0.6751932,406,408
66,NATO,I-ORG,0.9937564,413,417
66,I,I-ORG,0.7648549,418,419
66,##vo,I-ORG,0.7643691,419,421
66,NE,I-ORG,0.9981627,461,463
66,##A,I-ORG,0.99564666,463,464
67,Bill,I-PER,0.9837662,53,57
68,Sullivan,I-PER,0.99954236,9,17
68,Jacob,I-PER,0.99910766,19,24
68,J,I-PER,0.68165326,25,26
68,Libya,I-LOC,0.9996815,107,112
68,Sid,I-PER,0.9976714,114,117
69,Prince,I-PER,0.6568509,10,16
69,Sa,I-PER,0.93619376,17,19
69,##ud,I-PER,0.77847743,19,21
71,UK,I-LOC,0.99950826,36,38
71,Egypt,I-LOC,0.9997936,76,81
71,Sid,I-PER,0.65012944,92,95
71,UK,I-LOC,0.9959638,107,109
71,Egypt,I-LOC,0.9997875,139,144
71,UK,I-LOC,0.996077,160,162
71,Egypt,I-LOC,0.9997868,192,197
71,Hillary,I-PER,0.9975969,209,216
72,Hillary,I-PER,0.992735,0,7
72,Bob,I-PER,0.99600655,399,402
72,Gates,I-PER,0.993418,403,408
72,U,I-ORG,0.56212586,409,410
72,S,I-LOC,0.53318495,411,412
72,.,I-ORG,0.58291703,412,413
72,Department,I-ORG,0.9973713,414,424
72,of,I-ORG,0.99542904,425,427
72,State,I-ORG,0.98799616,428,433
74,UK,I-LOC,0.99950445,40,42
74,Egypt,I-LOC,0.99976057,80,85
74,UK,I-LOC,0.9973986,108,110
74,Egypt,I-LOC,0.9997634,141,146
75,U,I-ORG,0.6515033,194,195
75,S,I-ORG,0.6934967,196,197
75,.,I-ORG,0.66559416,197,198
75,Department,I-ORG,0.99756974,199,209
75,of,I-ORG,0.99484986,210,212
75,State,I-ORG,0.9895086,213,218
75,B,I-PER,0.7015355,315,316
75,##EN,I-LOC,0.6449136,316,318
75,##G,I-LOC,0.47455412,318,319
75,##HA,I-LOC,0.46612555,319,321
75,##Z,I-LOC,0.33086702,321,322
75,##I,I-PER,0.445526,322,323
75,F,I-MISC,0.91637415,393,394
75,##O,I-MISC,0.768461,394,395
75,U,I-ORG,0.88306874,423,424
75,S,I-ORG,0.6186541,425,426
75,.,I-ORG,0.80020565,426,427
75,Department,I-ORG,0.9967602,428,438
75,of,I-ORG,0.9942357,439,441
75,State,I-ORG,0.970777,442,447
76,War,I-MISC,0.9975579,21,24
76,Powers,I-MISC,0.9980071,25,31
76,Act,I-MISC,0.9983773,32,35
76,Morocco,I-LOC,0.9997843,63,70
76,Moroccan,I-MISC,0.9976604,168,176
76,Hold,I-PER,0.9975731,198,202
76,##er,I-PER,0.9780215,202,204
76,Department,I-ORG,0.9996158,251,261
76,of,I-ORG,0.99908817,262,264
76,Justice,I-ORG,0.99883157,265,272
76,Libya,I-LOC,0.999742,275,280
76,U,I-ORG,0.85352445,351,352
76,S,I-ORG,0.54298866,353,354
76,Department,I-ORG,0.9975305,356,366
76,of,I-ORG,0.99629694,367,369
76,State,I-ORG,0.9874746,370,375
76,B,I-LOC,0.7356985,472,473
76,##EN,I-LOC,0.7871226,473,475
76,##G,I-LOC,0.47809228,475,476
76,##HA,I-LOC,0.54141116,476,478
76,##Z,I-MISC,0.468916,478,479
76,##I,I-ORG,0.4650964,479,480
77,CSI,I-ORG,0.4034369,18,21
78,Hu,I-PER,0.83938384,88,90
78,Hold,I-PER,0.99073046,111,115
78,##er,I-PER,0.83393884,115,117
80,Jake,I-PER,0.98325646,17,21
81,Service,I-ORG,0.9913794,21,28
81,Hold,I-PER,0.9877345,52,56
81,##er,I-PER,0.69610465,56,58
82,Pat,I-PER,0.9962379,14,17
83,Hold,I-PER,0.99266535,34,38
83,##er,I-PER,0.79204816,38,40
