doc_id,entity,type
58,american,NORP
58,middle east,LOC
58,syria,GPE
58,tens of thousands,CARDINAL
58,egypt,GPE
58,muslim,NORP
58,israel,GPE
58,libya,GPE
58,iran,GPE
58,israel,GPE
58,obama,PERSON
58,the middle east,LOC
58,iran,GPE
58,america,GPE
58,the middle east,LOC
58,first,ORDINAL
58,world war ii,EVENT
58,second,ORDINAL
58,recent years,DATE
58,obama,PERSON
58,decade,DATE
58,the white house,ORG
58,american,NORP
58,the middle east,LOC
58,arab,NORP
58,millions,CARDINAL
58,the past few weeks,DATE
58,israel,GPE
58,two,CARDINAL
58,israel,GPE
58,the middle east,LOC
58,only one,CARDINAL
58,israel,GPE
58,iran,GPE
58,israel,GPE
58,america,GPE
58,benjamin netanyahu,PERSON
58,iran,GPE
58,iranian,NORP
58,the united states,GPE
58,israel,GPE
58,middle east,LOC
58,three,CARDINAL
58,obama,PERSON
58,doc,ORG
58,statescb0045554,PERSON
58,doc,ORG
58,the 20th century,DATE
58,an american century,DATE
58,the 21st century,DATE
58,american,NORP
58,republican,NORP
58,october 12012,DATE
58,us,GPE
58,the middle east,LOC
59,1,CARDINAL
59,wednesday march 30 2011,DATE
59,sullivan jacob,PERSON
59,philippe,PERSON
61,friday april 12011,DATE
61,french,NORP
61,new york,GPE
61,this week,DATE
61,weekend,DATE
62,wednesday october 3 2012,DATE
62,3 am,QUANTITY
65,saturday october 06 2012,DATE
65,pamonitoringgroupdi neapressdl,PERSON
65,tow nora,PERSON
65,10,CARDINAL
65,daily,DATE
65,un,ORG
65,susan rice,PERSON
65,oct 8 2012,DATE
65,leslie gelb,PERSON
65,days,DATE
65,un,ORG
65,us,GPE
65,libya,GPE
65,washington,GPE
65,al,NORP
65,the white house,ORG
65,hillary clinton,PERSON
65,republicans,NORP
65,the house of representatives,ORG
65,statescb0045563 us department of state,ORG
65,white house,ORG
65,daily,DATE
65,intel,ORG
65,american,NORP
65,muslim,NORP
65,christopher stevens rice,PERSON
65,white house,ORG
65,daily,DATE
65,cia,ORG
65,john kerry,PERSON
65,nsc,PERSON
65,nicholas,PERSON
65,un,ORG
65,first,ORDINAL
65,statescb0045564,ORG
66,chris stevens,PERSON
67,today,DATE
68,friday september 14 2012,DATE
68,cnn,ORG
68,blog prothero,PERSON
70,october 6 2012,DATE
72,today,DATE
72,later today,TIME
72,uk,GPE
72,egyptian,NORP
72,fm amr,PERSON
72,french,NORP
72,saudi,NORP
72,libyan,NORP
72,mohamoud moroccan king,PERSON
72,juan carlos,PERSON
72,spain,GPE
72,today,DATE
72,today,DATE
72,tomorrow,DATE
72,the middle east,LOC
73,nora toiv mato,PERSON
73,april 03 2011,DATE
73,bill clinton,PERSON
73,bill clinton,PERSON
73,april 3 2011,DATE
73,us,GPE
73,bill clinton,PERSON
73,the united states,GPE
73,clinton,PERSON
73,today,DATE
73,san diego,GPE
73,abc news clinton,ORG
73,san diego,GPE
73,clinton,PERSON
73,libya,GPE
73,february,DATE
73,middle east,LOC
73,libyan,NORP
73,last month,DATE
73,the united nations,ORG
73,north african,NORP
73,gadhafiss,NORP
73,clinton,PERSON
73,the united states,GPE
73,clinton,PERSON
73,statescb0045034 us department of state case,ORG
73,clinton,PERSON
73,state,ORG
73,hillary clinton,PERSON
73,bill clinton,PERSON
73,monday,DATE
73,america,GPE
73,clinton,PERSON
73,2011,CARDINAL
73,abc,ORG
73,statescb0045035,GPE
76,fyi jeff,PERSON
76,nato,ORG
76,jeffrey,PERSON
76,friday april 08 2011,DATE
76,0112,CARDINAL
76,polaschlk,ORG
76,gordon philip roebuck,PERSON
76,william keene matt,PERSON
76,elizabeth cc sullivan jacob,PERSON
76,ronald sanderson janet djerassi,PERSON
76,alexander heffern,PERSON
76,john degnan,PERSON
76,kelly subject re itenghazi,PERSON
76,nato,ORG
76,libya,GPE
76,chris stevens,PERSON
76,libya,GPE
76,nato,ORG
76,nato,ORG
76,qadhati,GPE
76,jeff jeffrey fettman,PERSON
76,bureau of,PERSON
76,eastern affairs department of state,ORG
76,2026474209,DATE
78,sullivan jacob,PERSON
78,sunday october 7 2012,DATE
78,libya,GPE
81,friday april 8 2011,DATE
81,egypt,GPE
81,egypt,GPE
81,egypt,GPE
82,hillary,PERSON
82,four,CARDINAL
86,friday april 8 2011,DATE
86,egypt,GPE
86,egypt,GPE
87,long about 30 minutes,TIME
87,dan us department,ORG
87,state5cb0045603 us department,ORG
87,state,ORG
87,hillary rodham clinton,PERSON
87,washington,GPE
87,12,CARDINAL
87,2012,DATE
87,b5 us department of state,ORG
87,state5cb0045608 us department,ORG
87,state5cb0045610 us department,ORG
87,state5cb0045611 us department,ORG
87,state5cb0045613 us department of state case,ORG
87,state5cb0045614 us department,ORG
88,morocco,GPE
88,moroccans,NORP
88,tonight,TIME
88,doc,ORG
88,statescb0045339,ORG
89,attachment hrc csis,ORG
89,couple hours,TIME
90,huma,PERSON
91,tonight,TIME
94,tonight,TIME
94,the morning,TIME
97,7pm,TIME
97,several hours,TIME
98,hrc,PERSON
98,51 minutes,TIME
99,7pm,TIME
101,b5 us department of state case,ORG
101,doc,ORG
103,one,CARDINAL
103,first,ORDINAL
103,morning,TIME
103,dan,PERSON
108,1,CARDINAL
108,tuesday april 26 2011,DATE
108,jacob abedin,PERSON
108,426,CARDINAL
108,four,CARDINAL
108,six,CARDINAL
108,uk,GPE
108,tomorrow,DATE
108,british,NORP
108,tomorrow,DATE
108,john jenkins,PERSON
108,baghdad inc,ORG
108,malunoud fibril,PERSON
108,jordan,GPE
108,friday,DATE
108,dan us department,ORG
108,doc,ORG
110,florida,GPE
110,the weekend,DATE
113,dan,PERSON
113,9,CARDINAL
114,monday may 2 2011,DATE
114,libya,GPE
114,hrc,PERSON
114,bin laden,PERSON
114,libyadocx hrc,PERSON
114,bin laden,PERSON
114,may 2 2011,DATE
115,this morning,TIME
119,monday may 2 2011,DATE
119,libya,GPE
119,hrc,PERSON
119,bin laden aq,PERSON
119,8,CARDINAL
119,monday may 02 2011,DATE
119,libya,GPE
119,may 2 2011,DATE
122,friday may 6,DATE
122,libya,GPE
122,hrc,PERSON
122,bin laden,PERSON
122,monday may 02 2011,DATE
122,libya,GPE
122,may 2 2011,DATE
123,yesterday,DATE
123,this morning,TIME
123,statescb0045701,ORG
125,friday may 06 2011,DATE
125,sullivan jacob,PERSON
125,libya,GPE
125,monday may 02 2011,DATE
125,libya,GPE
127,this week,DATE
127,us,GPE
127,the united nations,ORG
127,susan rice dr rice,PERSON
127,first,ORDINAL
127,libyans,NORP
127,al qaida,ORG
127,first,ORDINAL
127,fbi,ORG
127,cairo,GPE
127,cairo,GPE
127,cairo,GPE
127,libya,GPE
127,statescb0045373 us department of state case,ORG
127,tripoli,GPE
127,first,ORDINAL
127,two,CARDINAL
127,four,CARDINAL
127,americans,NORP
127,tripoli,GPE
127,libya,GPE
127,first,ORDINAL
127,tripoli,GPE
127,previous months,DATE
127,first,ORDINAL
127,tripoli,GPE
127,months,DATE
127,libya,GPE
127,american,NORP
127,tripoli,GPE
127,statescb0045374 us department,ORG
127,the last several days,DATE
127,muslim,NORP
127,today,DATE
127,muslim,NORP
127,arab,NORP
127,four years ago,DATE
127,us,GPE
127,first,ORDINAL
127,this week,DATE
127,cairo,GPE
127,tunisia khartoum,ORG
127,us,GPE
127,egypt,GPE
127,obama,PERSON
127,egypt,GPE
127,two days,DATE
127,tunisia,GPE
127,yemen,GPE
127,libya,GPE
127,libya,GPE
127,libyan,NORP
127,the united states,GPE
127,libya,GPE
127,the united states,GPE
127,statescb0045375 us department of state case,ORG
127,libya,GPE
127,egypt,GPE
127,obama,PERSON
127,egypt,GPE
127,wednesday,DATE
127,the united states,GPE
127,billions of dollars,MONEY
127,egypt,GPE
127,the last few decades,DATE
127,the state department,ORG
127,egypt,GPE
127,the united states,GPE
127,egypt,GPE
127,first,ORDINAL
127,egypt,GPE
127,the united states,GPE
127,egyptian,NORP
127,cairo,GPE
127,the united states,GPE
127,egypt,GPE
127,yemen,GPE
127,tunisia,GPE
127,libya,GPE
127,erdogan,PERSON
127,turkey,GPE
127,mufti,ORG
127,saudi arabia,GPE
127,statescb0045376 us department,ORG
127,egypt,GPE
127,today,DATE
127,statescb0045377,ORG
128,june 3 2011,DATE
131,friday june 3 2011,DATE
131,uk,GPE
131,sid hrc memo secret bid,PERSON
131,uk,GPE
131,hrc,PERSON
131,doc,ORG
131,doc,ORG
131,june 3 2011,DATE
134,friday june 3,DATE
134,201,PRODUCT
134,uk,GPE
134,jakefyi,GPE
134,laurenpls,NORP
140,b5,PERSON
141,next 2448 hours,DATE
142,monday august 8 2011,DATE
142,sid hrc memo,PERSON
142,hrc,PERSON
142,august 8 2011,DATE
143,sullivan jacob,PERSON
143,sunday september 16 2012,DATE
143,the united nations,ORG
144,monday october 15 2012,DATE
144,chris stevens,PERSON
147,thursday,DATE
147,chris stevens,PERSON
147,un,ORG
147,ng0s,ORG
147,libya,GPE
147,west ali,NORP
147,tripoli,GPE
147,almost to the minute,TIME
147,the geneva conventions,LAW
147,washington,GPE
147,tripoli benghazi,ORG
147,nearly two hours,TIME
147,thursday,DATE
147,doha,GPE
147,tripoli,GPE
147,mustafa abduljalil,PERSON
147,libyans,NORP
147,project inc authority,ORG
147,west tarhouni,LOC
147,libya,GPE
147,tripoli falls and the inc,ORG
147,qadhafi,GPE
147,abdulfatah younis,PERSON
147,qadhafi,GPE
147,recent weeks,DATE
147,qadhafi,NORP
147,libya,GPE
147,saif qadhafi,PERSON
147,statescb0045090 us department of state,ORG
147,nato,ORG
147,qadhafi,NORP
147,libyan,NORP
147,qadhafi eg mohammed ismails multiple attempts,LOC
147,qadhafi himself,PERSON
147,qadhafi somehow make,PERSON
147,tripoli,GPE
147,years,DATE
147,42year,CARDINAL
147,libyans,NORP
147,south african,NORP
147,moroccan,NORP
147,qadhafi,GPE
147,libyan,NORP
147,two,CARDINAL
147,libyan,NORP
147,libyans,NORP
147,march,DATE
147,tarhouni inc national security,ORG
147,the day,DATE
147,doha,GPE
147,indians,NORP
147,south africas,GPE
147,africa,LOC
147,south africa,GPE
147,nelson mandela,PERSON
147,august 2526,DATE
147,abdullah bin zayed,PERSON
147,us,GPE
147,ben fishman,PERSON
147,today,DATE
147,cairo,GPE
147,doha,GPE
147,abu dhabi,ORG
147,inter alia,ORG
147,doha,GPE
147,libyan,NORP
147,cairo,GPE
147,chris,PERSON
147,the coming days,DATE
147,chris,PERSON
147,pat kennedys,PERSON
147,neaex,PERSON
147,chris,PERSON
147,the us department of state case,ORG
147,statescb0045091 us department of state,ORG
147,american,NORP
147,two months ago,DATE
148,monday october 15 2012,DATE
148,chris stevens,PERSON
148,4,CARDINAL
149,october 16 2012,DATE
152,obama,PERSON
152,canton,GPE
152,clinton,PERSON
152,clinton,PERSON
152,first,ORDINAL
152,the united states,GPE
152,doc,ORG
153,nato,ORG
153,1325,DATE
153,today,DATE
153,nato,ORG
153,1325,DATE
153,chicago,GPE
153,us,GPE
153,afghanistan,GPE
153,nato,ORG
153,serbia,GPE
153,azerbaijan,GPE
153,georgia,GPE
153,azerbaijan,GPE
153,ten,CARDINAL
153,nato,ORG
153,us,GPE
153,nato,ORG
153,burmese,NORP
153,eu,PERSON
153,chris,PERSON
153,libya,GPE
153,libyan,NORP
153,doc no c05739739 date,ORG
153,statescb0045409,ORG
155,wednesday october 17,DATE
155,548 pm,TIME
159,wednesday september 19 2012,DATE
159,andrew sullivan,PERSON
160,eric jeremy,PERSON
161,wednesday october 17 2012,DATE
161,chris stevens,PERSON
163,hanley monica,PERSON
163,valmoro,GPE
163,835,CARDINAL
163,presidential daily,DATE
163,840,CARDINAL
163,daily,DATE
163,915 am,QUANTITY
163,weekly,DATE
163,george marshall,PERSON
163,fm marty,PERSON
163,1045,DATE
163,usindonesia,LOC
163,11a5,CARDINAL
163,franklin room 8k,PERSON
163,monica,PERSON
163,1150 am,TIME
163,fm marty,PERSON
163,james monroe room,PERSON
163,8,CARDINAL
163,monica,PERSON
163,100,CARDINAL
163,fm marty,PERSON
163,130,CARDINAL
163,1,CARDINAL
163,george marshall,PERSON
163,bill burns,PERSON
163,230pin,CARDINAL
163,235 pm,TIME
163,capitol,ORG
163,the house us capitol cvc auditorium staff monica,ORG
163,philippe,PERSON
163,217,CARDINAL
163,10,CARDINAL
163,minutes1,PERSON
163,217,CARDINAL
163,senate,ORG
163,capitol,ORG
163,217,CARDINAL
163,monica,PERSON
163,philippe,PERSON
163,press us department,ORG
163,doc,ORG
163,statescb0045413 us department,ORG
163,doc,ORG
163,capitol,ORG
163,520 pm,TIME
163,state department office,ORG
163,ron washington,PERSON
163,ron chappagas,PERSON
163,washington,GPE
163,73060,DATE
163,doc,ORG
168,thursday october 18 2012,DATE
168,b7c,PERSON
170,7 1,DATE
170,tomorrow,DATE
170,morning,TIME
170,2,CARDINAL
170,barak,PERSON
170,today,DATE
170,tomorrow afternoon,TIME
170,wendy,PERSON
170,3,CARDINAL
170,jeff,PERSON
170,4,CARDINAL
170,5,CARDINAL
170,6,CARDINAL
170,15,CARDINAL
170,15 mm,QUANTITY
170,next fridays,DATE
170,syria,GPE
170,7,CARDINAL
170,rick olson,PERSON
170,paul 8,PERSON
170,ansar al,PERSON
170,9 1 saw dennis ross,QUANTITY
170,today,DATE
170,one,CARDINAL
170,israel,GPE
170,friday september 21 2012,DATE
170,sullivan jacob,PERSON
172,npr,ORG
172,cia,ORG
172,tripoli,GPE
172,912,CARDINAL
172,doc,ORG
175,september,DATE
175,21 2012,DATE
175,hundreds,CARDINAL
175,last weeks,DATE
175,us,GPE
175,libya,GPE
175,islamic,NORP
175,friday,DATE
175,ansar alshariah,PERSON
175,omar mohammed university,PERSON
175,tens of thousands,CARDINAL
175,one,CARDINAL
175,libyans,NORP
175,sept 11,DATE
175,us,GPE
175,libya,GPE
175,moamrnar qaddafi,PERSON
175,around year ago,DATE
175,islamic,NORP
175,ansar alshariah,PERSON
175,muslims,NORP
175,ansar alshariati,PERSON
175,us,GPE
175,chris stevens,PERSON
175,three,CARDINAL
175,americans,NORP
175,islamist,NORP
175,rafallah sahati the militiamen,ORG
175,at least 20,CARDINAL
175,three,CARDINAL
175,earlier in the day,DATE
175,some 30000,CARDINAL
175,friday,DATE
175,doc,ORG
175,statescb0045425,ORG
175,doc,ORG
175,libya,GPE
175,second,ORDINAL
175,1 million,CARDINAL
175,august 2011,DATE
175,darna,GPE
175,darna,GPE
175,the mediterranean coast north,LOC
175,islamic,NORP
175,libyan,NORP
175,afghanistan,GPE
175,iraq,GPE
175,last year,DATE
175,islamic,NORP
175,al qaeda,ORG
175,islamic,NORP
175,muslim,NORP
175,darna,GPE
175,libya,GPE
175,this week,DATE
175,the past eight days,DATE
175,the same day,DATE
175,catholic,NORP
175,darna,GPE
175,decades,DATE
175,32,CARDINAL
175,the past few months,DATE
175,islamic,NORP
175,discos,GPE
175,ben madin,PERSON
175,the first day,DATE
175,first,ORDINAL
175,doc,ORG
175,statescb0045426 us department of state,ORG
175,doc,ORG
175,al qaeda,ORG
175,one,CARDINAL
175,sahaba,GPE
175,first,ORDINAL
175,as much as 1000 dinars,MONEY
175,monthly,DATE
175,around 200,CARDINAL
175,8month,CARDINAL
175,several hundred thousand,CARDINAL
175,doc,ORG
175,statescb0045427,ORG
176,b5 megan,PERSON
176,this afternoon,TIME
176,doc,ORG
176,doc,ORG
176,ed b5 unclassif us department,PERSON
176,doc,ORG
176,doc,ORG
176,doc,ORG
176,b5 us department of state,ORG
176,doc,ORG
176,doc,ORG
176,doc,ORG
176,doc,ORG
176,state5cb0045432 us department,ORG
176,doc,ORG
176,doc,ORG
176,b5 us department of state case,ORG
176,doc,ORG
176,doc,ORG
176,doc,ORG
176,2024316498,DATE
176,b5 us department of state case,ORG
176,doc,ORG
176,doc,ORG
176,2024316498,DATE
176,b5 us department of state case,ORG
176,doc,ORG
176,doc,ORG
176,202431 6498,DATE
176,doc,ORG
176,doc,ORG
176,2024316498,DATE
176,b5 us department of state case,ORG
176,doc,ORG
176,doc,ORG
176,2024316498,DATE
176,doc,ORG
176,state5cb0045439 b5 us,PERSON
176,doc,ORG
176,2024316498,DATE
176,b5 us department of state case,ORG
176,doc,ORG
176,state5cb0045440 us department,ORG
176,doc,ORG
176,2024316498,DATE
176,b5 us department of state case,ORG
176,doc,ORG
176,doc,ORG
176,2024316498,DATE
176,b5 us department of state case,ORG
176,doc,ORG
177,october 25 2012,DATE
180,roger,PERSON
183,57th,ORDINAL
183,call day,DATE
183,chris,PERSON
183,this morning,TIME
183,3,CARDINAL
183,monica,PERSON
183,bush,PERSON
183,reagan,PERSON
183,the last few days,DATE
183,statescb0045765,PERSON
184,pls print,PERSON
188,sullivan jacob,PERSON
188,jeff feltman,PERSON
188,inab6,PERSON
188,scan,GPE
191,wednesday,DATE
191,november 14,DATE
191,sullivan jacob,PERSON
191,philippe verma richard,PERSON
191,susan rice,PERSON
191,state,ORG
193,pls print,PERSON
194,thursday january 5 2012,DATE
194,libyan,NORP
194,january 5 2012,DATE
194,hrc,PERSON
195,sunday september 23 2012 1036 pm,DATE
196,sunday september 23 2012,DATE
197,thursday,DATE
197,hpsci ssci,ORG
199,jeff,PERSON
199,al,PERSON
201,thursday january 5 2012,DATE
201,libyan,NORP
201,new year,DATE
202,wednesday,DATE
203,friday september 21 2012 0404 pm,DATE
203,libyans,NORP
203,islamist,NORP
205,new year,DATE
207,annemarie slaughter b6,PERSON
207,thursday,DATE
207,jacob sullivan abedin,PERSON
207,this year,DATE
207,sarah,PERSON
207,sarah chayes,PERSON
207,november 15 2012,DATE
207,decades,DATE
207,obama,PERSON
207,one,CARDINAL
207,the last decade,DATE
207,david petraeus,PERSON
207,the state department,ORG
207,first,ORDINAL
207,george bush,PERSON
207,the iraq war,EVENT
207,afghanistan,GPE
207,2009,DATE
207,the last decade,DATE
207,two,CARDINAL
207,bush,PERSON
207,iraq,GPE
207,the middle east,LOC
207,doc,ORG
207,statescb0045779 us department of state case,ORG
207,afghanistan,GPE
207,cia,ORG
207,american,NORP
207,us,GPE
207,the years,DATE
207,two,CARDINAL
207,afghanistan,GPE
207,more than eight years,DATE
207,afghan,NORP
207,afghans,NORP
207,more than decade,DATE
207,us,GPE
207,first,ORDINAL
207,cia,ORG
207,cia,ORG
207,60,CARDINAL
207,60,CARDINAL
207,cia,ORG
207,christopher stevens,PERSON
207,libya,GPE
207,congress,ORG
207,us,GPE
207,washington,GPE
207,second,ORDINAL
207,sarah chayes,PERSON
207,2012,DATE
207,los angeles,GPE
