doc_id,text,label,start,end
673,ya soon,PERSON,21,28
685,good day later,DATE,20,34
689,new york,GPE,32,40
697,nana,ORG,0,4
702,tonawanda,GPE,8,17
703,suser20,ORG,0,7
716,muhaha,ORG,0,6
719,tonight,TIME,21,28
726,year old,DATE,27,35
737,nick name,PERSON,13,22
739,suser54,ORG,8,15
747,suser20,ORG,0,7
756,ya donno,PERSON,0,8
763,tdr,PERSON,0,3
767,suser54,CARDINAL,6,13
768,4suser121,CARDINAL,0,9
768,one,CARDINAL,35,38
771,suser20,ORG,0,7
780,suser20,ORG,0,7
781,chris,PERSON,0,5
782,suser20,ORG,0,7
784,la la la,PERSON,0,8
785,nah,PERSON,0,3
787,fuck virgin,GPE,0,11
789,suser20,ORG,13,20
792,20s,DATE,50,53
792,all night,TIME,90,99
804,suser196,ORG,0,8
805,lol wha,PERSON,0,7
809,kinda,PERSON,9,14
814,heyyy,PERSON,0,5
825,awwwwwwwwww,PERSON,0,11
828,first,ORDINAL,39,44
852,lmaoo,PERSON,0,5
862,omg,PERSON,0,3
863,suser21 ewww,PERSON,0,12
868,heeheeheeheeheehee,PERSON,0,18
870,suser42,CARDINAL,4,11
872,suser42,CARDINAL,0,7
879,suser42,NORP,15,22
881,4suser91,CARDINAL,0,8
887,suser42,CARDINAL,4,11
888,20s,DATE,50,53
888,suser42,NORP,82,89
889,geessh,PERSON,0,6
889,suser54,ORG,7,14
895,don,PERSON,0,3
898,hahaha,PERSON,0,6
900,awww,PERSON,0,4
903,piggy,GPE,0,5
913,three,CARDINAL,10,15
916,arizona,GPE,3,10
920,hahahahahaha,PERSON,0,12
931,last seen hours minutes ago,TIME,9,36
933,don,PERSON,0,3
939,dum dum,PERSON,0,7
944,ya,PERSON,0,2
973,suser91,PRODUCT,21,28
1007,suser91,PRODUCT,0,7
1009,ewwwwwww fruit,ORG,0,14
1010,hahahaha,ORG,0,8
1015,eeewwwwww,ORG,9,18
1018,mmmm,GPE,0,4
1025,nasty,PERSON,0,5
1034,lmaooo,ORG,0,6
1047,one,CARDINAL,9,12
1058,suser54,ORG,4,11
1059,suser54,ORG,13,20
1065,awww,GPE,0,4
1065,actualy,GPE,9,16
1066,one,CARDINAL,6,9
1067,suser110 suser54,GPE,14,30
1073,smooch,PERSON,0,6
1078,suser54,ORG,7,14
1079,anyyyyyyyyyyyyyyyyy,ORG,0,19
1079,late 20s pm,DATE,28,39
1080,first,ORDINAL,29,34
1083,fuckin bot,PERSON,0,10
1091,awww,PERSON,0,4
1095,last night,TIME,33,43
1101,suser91,PRODUCT,4,11
1106,hahaha,PERSON,0,6
1107,suser69,FAC,17,24
1109,last night,TIME,14,24
1114,suser69,PRODUCT,0,7
1117,lick suser65,PERSON,0,12
1127,suser54,ORG,0,7
1132,the days,DATE,17,25
1139,omg,PERSON,0,3
1147,omg,PERSON,0,3
1154,awww,PERSON,0,4
1163,hahaha,PERSON,0,6
1171,one,CARDINAL,53,56
1175,suser69,PRODUCT,5,12
1189,suser69,FAC,6,13
1191,suser69,FAC,4,11
1196,mmmmm,PERSON,37,42
1243,lmaooooo,ORG,0,8
1245,troll,ORG,0,5
1260,suser91,PERSON,4,11
1265,yesh am,PERSON,0,7
1272,canada,GPE,25,31
1274,suser91,PRODUCT,49,56
1281,suser54,ORG,4,11
1286,s,ORG,15,16
1292,hahaha,PERSON,0,6
1300,omg am,PERSON,0,6
1307,about 60kmph,CARDINAL,26,38
1310,standin,PERSON,3,10
1322,today,DATE,17,22
1338,shit,ORG,0,4
1339,suser54,ORG,5,12
1342,heyyyy suser110,PERSON,0,15
1355,virgin am,PERSON,37,46
1362,4please,CARDINAL,46,53
1364,blah,PERSON,0,4
1373,adultsuser35,PRODUCT,8,20
1385,adultsuser19,GPE,7,19
1419,adultsuser53,GPE,0,12
1433,va,GPE,16,18
1434,adultsuser88,GPE,12,24
1456,adultsuser53,GPE,0,12
1475,sup,ORG,0,3
1483,adultsuser99,CARDINAL,0,12
1485,tonight,TIME,28,35
1491,adultsuser19,PERSON,0,12
1491,burito dust,PERSON,46,57
1492,first,ORDINAL,0,5
1492,one,CARDINAL,11,14
1493,lotta,GPE,6,11
1498,burpin fool,PERSON,0,11
1504,one,CARDINAL,30,33
1509,muahz,PERSON,19,24
1510,two,CARDINAL,25,28
1511,adultsuser53,GPE,7,19
1523,heya adultsuser105,PERSON,0,18
1534,adultsuser53,GPE,3,15
1544,adultsuser45,PERSON,20,32
1557,wel lthen come fine,PERSON,0,19
1558,adultsuser19,PERSON,0,12
1559,adultsuser53,GPE,15,27
1562,ack,ORG,0,3
1565,lol adultsuser105,PERSON,0,17
1570,teehee,PERSON,0,6
1576,adultsuser88,GPE,5,17
1579,adultsuser53,GPE,0,12
1593,adultsuser88,GPE,3,15
1601,maryland,GPE,29,37
1614,one,CARDINAL,15,18
1616,tennessee,GPE,0,9
1618,maryland,GPE,0,8
1623,ya,PERSON,5,7
1623,ya,PERSON,21,23
1626,ohio,GPE,0,4
1627,adultsuser35,PRODUCT,8,20
1630,nakey,ORG,0,5
1631,lol adultsuser5,PERSON,0,15
1637,ohio,GPE,9,13
1637,adultsuser19,GPE,14,26
1641,lol ok adultsuser5,PERSON,0,18
1644,cleveland,GPE,5,14
1646,michigan,GPE,91,99
1648,adultsuser35,PRODUCT,7,19
1649,kool,PERSON,0,4
1652,lmao adultsuser105,PERSON,0,18
1654,lol am,PERSON,0,6
1657,san diego,GPE,8,17
1658,canada,GPE,17,23
1669,don,PERSON,0,3
1670,lol adultsuser105,PERSON,0,17
1674,maryland,GPE,5,13
1678,grrl,ORG,17,21
1681,second,ORDINAL,8,14
1681,two,CARDINAL,18,21
1689,adultsuser88,GPE,0,12
1697,year old,DATE,8,16
1702,adultsuser35,LAW,16,28
1718,awwwwwww,PERSON,0,8
1718,ya,PERSON,16,18
1726,adultsuser53,GPE,15,27
1727,muahz hun ltnsea,PERSON,0,16
1729,omg,PERSON,0,3
1734,ya adultsuser58,PERSON,8,23
1756,adultsuser53,GPE,5,17
1760,maryland,GPE,18,26
1768,first,ORDINAL,14,19
1773,adultsuser53,GPE,5,17
1776,one,CARDINAL,48,51
1779,urs,ORG,0,3
1783,aterry don,PERSON,0,10
1792,adultsuser119,ORG,3,16
1800,adultsuser115 omg,PERSON,0,17
1811,don,PERSON,8,11
1814,dotn thinkso,PERSON,8,20
1815,adultsuser1,ORG,7,18
1819,newp,PERSON,0,4
1831,adultsuser53,GPE,0,12
1837,adultsuser35,PRODUCT,11,23
1842,ya,PERSON,26,28
1843,heh,ORG,0,3
1845,don,PERSON,0,3
1845,tonight,TIME,26,33
1851,raymond ya definately,PERSON,75,96
1851,raymond,PERSON,97,104
1852,illinois,GPE,11,19
1862,adultsuser53,GPE,6,18
1865,adultsuser53,GPE,0,12
1866,raymond,PERSON,4,11
1868,adultsuser53,GPE,3,15
1873,adultsuser53,GPE,6,18
1898,adultsuser26,GPE,22,34
1903,adultsuser26,GPE,3,15
1915,thanks11,GPE,3,11
1917,adultsuser26,PERSON,0,12
1927,adultsuser5,PERSON,5,16
1945,lol someone,ORG,0,11
1957,maryland,GPE,10,18
1968,sup,ORG,0,3
1969,lol adultsuser115,ORG,0,17
1985,lol quiet,PERSON,0,9
1991,paul,PERSON,0,4
1997,maryland,GPE,5,13
2020,ya,PERSON,4,6
2021,adultsuser1,ORG,4,15
2022,adultsuser1,ORG,3,14
2024,adultsuser1,ORG,3,14
2026,adultsuser1,ORG,4,15
2029,adultsuser1,ORG,32,43
2033,nc anyone,PERSON,0,9
2038,hey wb adultsuser37,ORG,0,19
2047,the morning,TIME,75,86
2051,oklahoma,GPE,10,18
2051,cst,ORG,19,22
2066,justin,ORG,0,6
2067,criss angel,PERSON,9,20
2073,s balck,PERSON,4,11
2082,one,CARDINAL,10,13
2086,daniel gon,PERSON,10,20
2095,ya,PERSON,6,8
2103,hahaha,PERSON,0,6
2106,hong kong,GPE,0,9
2119,19teens,CARDINAL,5,12
2130,s balck,PERSON,4,11
2147,ya gurrrrl,ORG,9,19
2161,hehehe yay,PERSON,0,10
2166,ga wanna,ORG,14,22
2166,ga,PERSON,34,36
2171,jackie,PERSON,24,30
2181,shot kennedy,PERSON,0,12
2183,s kennedy,PERSON,3,12
2190,s kennedy,PERSON,3,12
2191,17f,CARDINAL,0,3
2198,cali guys,PERSON,0,9
2201,teensuser56,DATE,0,11
2205,il girls,PERSON,0,8
2225,don,PERSON,0,3
2250,one inch,QUANTITY,5,13
2253,hehehe fart,PERSON,0,11
2262,hahaha,PERSON,0,6
2271,ohio,GPE,0,4
2291,tonight,TIME,29,36
2303,washington,GPE,10,20
2303,any1,PERSON,32,36
2307,washington,GPE,5,15
2320,nah,PERSON,0,3
2342,ill miss,PERSON,0,8
2356,19teens,CARDINAL,5,12
2359,slam,ORG,0,4
2364,jesus,PERSON,0,5
2394,summer,DATE,65,71
2400,summer,DATE,23,29
2413,teensuser119,ORG,99,111
2435,china,GPE,38,43
2445,florida,GPE,12,19
2453,marilyn manson,PERSON,0,14
2453,charlie manson,PERSON,19,33
2453,one,CARDINAL,40,43
2459,il girls,PERSON,0,8
2460,nirvana,PERSON,0,7
2473,eeeeeeeeewwwwwwww,GPE,0,17
2495,mp3 vmp3 vi,PERSON,28,39
2500,mexican,NORP,4,11
2503,teensuser145,PERSON,0,12
2506,courtney,PERSON,0,8
2515,austin texas area,ORG,4,21
2516,mexicans,NORP,4,12
2542,md,GPE,11,13
2555,teensuser119,ORG,0,12
2563,australia,GPE,29,38
2568,mp3 vmp3 vi,PERSON,25,36
2590,el rey,ORG,0,6
2598,one more year,DATE,4,17
2605,vuela vuela vuela,PERSON,0,17
2606,democrats,NORP,4,13
2619,wooo,ORG,0,4
2632,teensuser67,GPE,3,14
2633,uuuhhh,ORG,0,6
2636,wooo,ORG,0,4
2661,md,GPE,30,32
2663,blah blah boring,PERSON,0,16
2664,comin ya,PERSON,7,15
2667,md,GPE,13,15
2672,nirvana,GPE,9,16
2673,teens years old,DATE,6,21
2698,only seconds ago,TIME,56,72
2733,oooooooooooglyyyyyyyy boooooooooooglyyyyyy,PERSON,0,42
2737,coudl write,PERSON,4,15
2738,wisconsin,GPE,0,9
2740,adultsuser45,PERSON,6,18
2740,4please,CARDINAL,46,53
2750,tracey ok,PERSON,25,34
2760,adultsuser22,ORG,0,12
2760,about years ago,DATE,27,42
2765,adultsuser24,EVENT,4,16
2768,adultsuser8,ORG,4,15
2770,the winter,DATE,66,76
2773,wisconsin,GPE,9,18
2785,adultsuser53,GPE,4,16
2794,teo million years of,DATE,54,74
2794,darwin,PERSON,75,81
2796,base ball,PERSON,0,9
2799,darwin,PERSON,0,6
2805,sup,CARDINAL,0,3
2805,adultsuser54,ORG,4,16
2806,tonight,TIME,19,26
2807,ya,PERSON,4,6
2807,the weekend,DATE,15,26
2816,some decades,DATE,31,43
2820,7am,TIME,15,18
2823,adultsuser22,ORG,4,16
2824,7am,TIME,13,16
2828,adultsuser0,ORG,14,25
2829,days,DATE,25,29
2832,tonight,TIME,20,27
2833,gawd,PERSON,0,4
2837,nick adultsuser29,PERSON,0,17
2841,nick adultsuser0,PERSON,0,16
2842,tomorrow night,TIME,4,18
2843,hb adultsuser29,PERSON,0,15
2844,nick adultsuser0,PERSON,0,16
2849,don,PERSON,0,3
2853,english,LANGUAGE,7,14
2854,darwin,PERSON,0,6
2863,27per,DATE,14,19
2871,one,CARDINAL,20,23
2872,adultsuser22,ORG,4,16
2889,adultsuser22,ORG,12,24
2896,adultsuser54,ORG,15,27
2897,adultsuser54,ORG,24,36
2904,nick adultsuser0,PERSON,0,16
2905,chinese,NORP,25,32
2907,french,NORP,34,40
2908,mmmm,GPE,0,4
2912,yow am,PRODUCT,0,6
2915,nick adultsuser0,PERSON,0,16
2925,cold day,DATE,14,22
2926,adultsuser0,ORG,4,15
2929,mmmm,GPE,46,50
2940,sec,ORG,4,7
2945,nbc,ORG,17,20
2950,steve martin,PERSON,7,19
2952,the summer,DATE,10,20
2957,one,CARDINAL,14,17
2957,two,CARDINAL,60,63
2963,adultsuser54,ORG,5,17
2964,evening,TIME,0,7
2974,adultsuser54,ORG,51,63
2982,adultsuser22,ORG,6,18
3000,adultsuser54,ORG,0,12
3005,heya adultsuser24,PERSON,0,17
3011,today,DATE,18,23
3049,adultsuser54,ORG,3,15
3067,adultsuser73,PERSON,6,18
3069,hb adultsuser0,ORG,0,14
3077,adultsuser73,PERSON,7,19
3091,nick adultsuser22,PERSON,0,17
3092,adultsuser22,NORP,21,33
3093,ya,PERSON,3,5
3098,adultsuser72,ORG,9,21
3101,adultsuser22,ORG,9,21
3112,adultsuser81,PERSON,3,15
3136,nick adultsuser22,PERSON,0,17
3141,adultsuser86,FAC,4,16
3152,adultsuser54,ORG,5,17
3154,adultsuser54,ORG,9,21
3158,hehehe,PERSON,0,6
3162,nick,ORG,0,4
3164,nova,LOC,3,7
3210,adultsuser22,ORG,3,15
3219,hahahah,GPE,0,7
3224,hahaha,PERSON,0,6
3241,adultsuser73,PERSON,15,27
3244,omg,PERSON,0,3
3246,omg,PERSON,0,3
3247,omg,PERSON,0,3
3248,omg,PERSON,0,3
3250,dustin,ORG,0,6
3256,adultsuser22,ORG,3,15
3257,adultsuser27,NORP,13,25
3258,adultsuser22,ORG,3,15
3271,nick adultsuser29,PERSON,0,17
3288,adultsuser22,ORG,4,16
3295,adultsuser73,PERSON,15,27
3304,beckley,GPE,0,7
3310,yesterday,DATE,11,20
3313,late tonight,TIME,15,27
3314,adultsuser81,PERSON,8,20
3314,night,TIME,87,92
3324,adultsuser73,PERSON,0,12
3327,this morning,TIME,26,38
3336,tomorrow,DATE,17,25
3337,hahahaha,ORG,0,8
3338,texas,GPE,10,15
3339,adultsuser73,PERSON,6,18
3340,yesterday,DATE,32,41
3349,don,PERSON,5,8
3351,bbl gon,PERSON,0,7
3358,hon,ORG,11,14
3361,adultsuser29,GPE,19,31
3385,ahhahahaha,PERSON,0,10
3396,awww,PERSON,0,4
3400,adultsuser22,ORG,3,15
3411,today,DATE,31,36
3414,last night,TIME,54,64
3439,adultsuser24,PERSON,6,18
3439,4please,CARDINAL,46,53
3446,kinda,GPE,5,10
3446,sucker bloe,ORG,14,25
3450,first,ORDINAL,34,39
3452,dang,GPE,0,4
3455,jus wanna,PERSON,0,9
3461,the other night,TIME,32,47
3462,adultsuser35,PRODUCT,6,18
3466,one,CARDINAL,0,3
3478,adultsuser28,NORP,13,25
3484,adultsuser35,PRODUCT,0,12
3485,nick,PERSON,3,7
3495,nick adultsuser23,PERSON,0,17
3499,first,ORDINAL,20,25
3503,adultsuser34,GPE,3,15
3506,awwww,GPE,0,5
3507,adultsuser35,PRODUCT,13,25
3508,adultsuser23 now,DATE,5,21
3511,adultsuser35,PRODUCT,4,16
3515,omg adultsuser23,PERSON,0,16
3526,last night,TIME,122,132
3532,adultsuser19,PERSON,0,12
3544,adultsuser1,ORG,13,24
3547,adultsuser35,PRODUCT,27,39
3549,adultsuser1,ORG,13,24
3565,adultsuser35,ORG,4,16
3569,sup,ORG,0,3
3574,adultsuser35,PRODUCT,5,17
3575,ooer,PERSON,0,4
3581,ahem,ORG,0,4
3583,last night,TIME,22,32
3584,adultsuser28,ORG,0,12
3586,halo adultsuser35,PRODUCT,0,17
3587,adultsuser35,PRODUCT,0,12
3589,awww adultsuser1,PERSON,0,16
3591,adultsuser28,ORG,0,12
3593,adultsuser1,ORG,5,16
3595,adultsuser28 dang yer,PERSON,18,39
3596,5am,TIME,33,36
3596,adultsuser1,ORG,41,52
3602,adultsuser35,PRODUCT,0,12
3603,eric,PERSON,15,19
3604,adultsuser1,ORG,4,15
3607,ooo congrats,PERSON,0,12
3608,adultsuser34,GPE,4,16
3620,ahh mkay,PERSON,0,8
3626,adultsuser28,ORG,37,49
3630,last night,TIME,15,25
3638,adultsuser28 ohh,PERSON,6,22
3644,imma make,PERSON,0,9
3645,adultsuser28,ORG,24,36
3648,dr drew,PERSON,11,18
3649,lol adultsuser23,PERSON,0,16
3650,yahoo,ORG,75,80
3651,dr drew,PERSON,0,7
3665,adultsuser47,PERSON,0,12
3666,adultsuser47,PERSON,0,12
3667,adultsuser47,PERSON,5,17
3669,adultsuser19,PRODUCT,0,12
3670,adultsuser47,PERSON,5,17
3672,adultsuser47,PERSON,0,12
3672,huuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuugz,CARDINAL,13,51
3678,adultsuser28,NORP,14,26
3679,adultsuser35,PRODUCT,0,12
3680,adultsuser35,PRODUCT,6,18
3683,adultsuser28,ORG,0,12
3684,adultsuser47,PERSON,0,12
3685,pushes adultsuser47,PERSON,0,19
3688,adultsuser28,NORP,33,45
3689,adultsuser35,PRODUCT,12,24
3690,adultsuser35,LAW,19,31
3692,adultsuser47,PERSON,15,27
3698,adultsuser45,PERSON,4,16
3699,naw adultsuser23,PERSON,0,16
3702,randy,PERSON,5,10
3707,wahoooooooski,PERSON,0,13
3711,www wunderground,ORG,0,16
3711,california,GPE,30,40
3712,at53,ORG,9,13
3712,october,DATE,24,31
3712,59,CARDINAL,37,39
3712,18,CARDINAL,42,44
3715,adultsuser35,PRODUCT,0,12
3720,sunrise21 am,PERSON,0,12
3720,2,CARDINAL,37,38
3720,26s,DATE,40,43
3725,bin findweather getforecast query,PERSON,34,67
3728,california,GPE,13,23
3729,www wunderground,ORG,0,16
3729,alaska,GPE,31,37
3730,joshy,PERSON,15,20
3732,at55,ORG,9,13
3732,october,DATE,25,32
3732,453,CARDINAL,38,41
3732,138,CARDINAL,44,47
3738,adultsuser47,ORG,17,29
3740,sunrise59 am,PRODUCT,0,12
3740,6,CARDINAL,39,40
3742,pfft,ORG,0,4
3745,alaska,GPE,14,20
3750,azerbaijan,GPE,5,15
3751,dang,ORG,0,4
3770,www wunderground,ORG,0,16
3770,south dakota,GPE,30,42
3771,at27,ORG,9,13
3771,october elev 1299,DATE,24,41
3771,396,CARDINAL,44,47
3772,adultsuser35,PRODUCT,23,35
3775,1900,CARDINAL,20,24
3775,579,CARDINAL,27,30
3776,brb afk,ORG,0,7
3779,3,CARDINAL,37,38
3779,1s,CARDINAL,40,42
3780,adultsuser34,GPE,3,15
3785,south dakota,GPE,13,25
3786,adultsuser35,PRODUCT,22,34
3787,lmao adultsuser47,PERSON,0,17
3794,adultsuser35,PRODUCT,4,16
3795,sup,ORG,0,3
3806,adultsuser47,PERSON,10,22
3809,totaly,PERSON,25,31
3811,days,DATE,17,21
3813,adultsuser35,LAW,4,16
3815,dang,PERSON,18,22
3816,tuesday,DATE,16,23
3819,adultsuser35,PRODUCT,6,18
3821,awww adultsuser35 yer gon,PERSON,0,25
3824,omg lol adultsuser50,PERSON,0,20
3832,wednesday,DATE,7,16
3833,coexistence,ORG,0,11
3845,kiddin adultsuser35,ORG,0,19
3872,bye honey,ORG,0,9
3874,wisconsin,GPE,0,9
3877,adultsuser45,PERSON,5,17
3891,first,ORDINAL,34,39
3892,adultsuser35,PRODUCT,0,12
3893,adultsuser35,PRODUCT,9,21
3895,adultsuser35,PRODUCT,7,19
3896,adultsuser35,PRODUCT,11,23
3900,adultsuser28,NORP,34,46
3901,adultsuser53,GPE,4,16
3902,fallz offa,PERSON,7,17
3903,european,NORP,101,109
3904,omg adultsuser28 whoaaaaaaaaaaaa,PERSON,0,32
3906,adultsuser28,NORP,13,25
3908,adultsuser53,GPE,9,21
3918,adultsuser35,PRODUCT,0,12
3921,dood yer,PERSON,13,21
3926,adultsuser35,PRODUCT,4,16
3929,brrrrrrr,ORG,0,8
3930,adultsuser35,PRODUCT,4,16
3932,adultsuser34,GPE,3,15
3933,adultsuser35,PRODUCT,16,28
3934,adultsuser35,PRODUCT,25,37
3935,muahhh,PERSON,16,22
3936,hahah adultsuser28,PERSON,0,18
3938,every day,DATE,0,9
3938,tuesday,DATE,13,20
3941,ben agaibn,PERSON,30,40
3945,adultsuser53,GPE,6,18
3946,agaibn,ORG,0,6
3966,dang,GPE,0,4
3967,lol adultsuser28,PERSON,0,16
3968,adultsuser28,NORP,13,25
3972,adultsuser35,PRODUCT,3,15
3977,adultsuser35,PRODUCT,15,27
3984,nickelback,PERSON,0,10
3993,argh,ORG,0,4
3997,omg,PERSON,0,3
4002,gawd,PERSON,0,4
4009,first,ORDINAL,14,19
4009,adultsuser35,PRODUCT,20,32
4012,adultsuser28,ORG,4,16
4018,pfft dun,PERSON,0,8
4020,lol adultsuser47,PERSON,0,16
4023,lol adultsuser47,PERSON,0,16
4024,adultsuser35,PRODUCT,5,17
4027,lol adultsuser47,PERSON,0,16
4029,adultsuser28,NORP,15,27
4040,adultsuser28,NORP,15,27
4043,geeze adultsuser28,PERSON,0,18
4043,one,CARDINAL,32,35
4046,adultsuser28,ORG,34,46
4048,lol adultsuser47,PERSON,0,16
4050,whoopz sowwy,ORG,0,12
4052,adultsuser35,PRODUCT,4,16
4058,nick adultsuser32,ORG,0,17
4064,nick adultsuser28,PERSON,0,17
4065,lol adultsuser28,PERSON,0,16
4066,ben,PERSON,5,8
4067,nick adultsuser28,PERSON,0,17
4068,ben,PERSON,14,17
4075,lol adultsuser47,PERSON,0,16
4079,teehee,PERSON,0,6
4083,nick adultsuser32,ORG,0,17
4087,nick adultsuser28,PERSON,0,17
4097,adultsuser35,PRODUCT,7,19
4099,adultsuser35,PRODUCT,4,16
4100,adultsuser28,ORG,15,27
4100,adultsuser35,PRODUCT,50,62
4101,nick adultsuser32,ORG,0,17
4105,adultsuser47,PERSON,4,16
4114,nick adultsuser35,PERSON,0,17
4117,nick adultsuser28,PERSON,0,17
4118,tha fillin,PERSON,31,41
4119,nick adultsuser32,ORG,0,17
4122,fillin,GPE,9,15
4128,adultsuser28,NORP,34,46
4129,suser11,GPE,0,7
4130,suser11,GPE,4,11
4140,suser11,GPE,3,10
4145,today,DATE,21,26
4146,suser11,GPE,12,19
4147,uhh ahh boyz ii,ORG,0,15
4150,suser11,GPE,7,14
4152,manhattan,GPE,8,17
4154,suser11,GPE,11,18
4158,suser2,PRODUCT,10,16
4161,nice suser11,ORG,0,12
4168,byb,ORG,0,3
4171,suser15,PRODUCT,5,12
4176,today,DATE,38,43
4176,first,ORDINAL,44,49
4182,gon,ORG,0,3
4184,biz suser17,ORG,0,11
4185,evening,TIME,54,61
4188,mauh,PERSON,0,4
4189,mike,PERSON,5,9
4191,suser11,GPE,0,7
4194,don,PERSON,0,3
4195,don,PERSON,0,3
4202,suser9,PERSON,3,9
4227,ya,PERSON,0,2
4231,cali farmer,PERSON,0,11
4233,this year,DATE,13,22
4235,nick,PERSON,0,4
4235,suser10,PRODUCT,5,12
4241,one,CARDINAL,8,11
4249,tonight,TIME,28,35
4252,mango martinis,ORG,0,14
4260,wooooohoooo,PERSON,0,11
4267,ya drugs,PERSON,0,8
4269,texas,GPE,27,32
4270,suser9,PERSON,9,15
4272,nada again,ORG,0,10
4273,cali,PERSON,0,4
4278,ya,PERSON,0,2
4283,texas,GPE,35,40
4291,nick,PERSON,0,4
4291,suser10,PRODUCT,5,12
4294,suser9,PERSON,3,9
4314,suser11,GPE,5,12
4337,suser3,PERSON,48,54
4343,suser25,MONEY,0,7
4345,suser3,PERSON,0,6
4346,suser25,MONEY,0,7
4348,suser11,GPE,0,7
4351,suser9,PERSON,7,13
4354,suser11,GPE,57,64
4365,suser25,CARDINAL,4,11
4366,suser25,MONEY,0,7
4374,suser25,CARDINAL,4,11
4381,years ago,DATE,8,17
4387,suser27,ORG,4,11
4395,suser9,ORG,15,21
4400,suser28,ORG,4,11
4427,suser9,PERSON,34,40
4431,kentucky,GPE,41,49
4436,canadian,NORP,7,15
4441,suser9,PERSON,6,12
4443,suser11,GPE,0,7
4454,suser9,PERSON,10,16
4463,don,PERSON,11,14
4464,six in the morning,TIME,17,35
4468,suser11,GPE,26,33
4469,ya suser33,PERSON,3,13
4475,suser9,PERSON,3,9
4483,suser34,ORG,4,11
4488,italian,NORP,16,23
4494,suser36,ORG,4,11
4496,suser36,ORG,3,10
4500,suser36,ORG,6,13
4512,suser37,GPE,3,10
4513,ooppsss boots,ORG,0,13
4514,suser37,GPE,18,25
4517,first,ORDINAL,7,12
4519,suser36,ORG,8,15
4536,the suser34 of steel,ORG,0,20
4537,ya horny,PERSON,69,77
4538,ummm,GPE,0,4
4539,dang,ORG,0,4
4539,one,CARDINAL,47,50
4541,don,PERSON,168,171
4544,suser37,GPE,23,30
4546,suser37,GPE,0,7
4547,suser37,GPE,4,11
4551,suser28,ORG,4,11
4551,suser39,DATE,16,23
4557,suser37,GPE,23,30
4558,smallfry,ORG,20,28
4559,don,PERSON,7,10
4560,kentucky,GPE,32,40
4561,lmao,ORG,0,4
4579,suser37,GPE,0,7
4580,suser3,PERSON,3,9
4581,tonight,TIME,25,32
4586,these days,DATE,26,36
4587,suser37,GPE,3,10
4588,suser3,PERSON,4,10
4590,don,PERSON,0,3
4590,suser9,PERSON,30,36
4591,oooooooooooo,PERSON,0,12
4592,the day,DATE,7,14
4607,suser28,ORG,16,23
4609,suser37,GPE,18,25
4612,suser37,GPE,0,7
4616,ill hate,ORG,0,8
4616,ya if ya,PERSON,9,17
4624,suser41,DATE,13,20
4626,suser9,ORG,36,42
4627,suser25,MONEY,6,13
4628,one,CARDINAL,19,22
4628,suser37,GPE,33,40
4637,don,PERSON,0,3
4644,blush,PERSON,0,5
4645,suser12,ORG,3,10
4647,suser42,NORP,0,7
4649,suser42,CARDINAL,0,7
